station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,ridership_2013,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
21 St,Queens,G,1,POINT (-73.949724 40.744065),0,0,0,0,0,0,0,1,0,1309.0,448.0,6360.0,422.0,9269.0,-0.7762204127334082,0.7666666666666657,-1463.0,6289.0,20780.333333333343,711.6666666666665,6736.0,1.341088734900775
21 St - Queensbridge,Queens,F,1,POINT (-73.942836 40.754203),0,0,1,0,0,0,0,0,0,8761.0,2079.0,3537.0,174.0,6000.0,-0.2425810685739216,-0.45000000000000284,-1498.0,5988.0,16616.5,381.5,5936.0,-0.5138534290420105
215 St,Manhattan,1,1,POINT (-73.915279 40.869444),0,1,0,0,0,0,0,0,0,2078.0,-291.0,2416.0,125.0,9165.0,0.3002949803618038,0.36666666666666714,-2312.0,4512.0,6702.666666666664,183.0,2635.0,0.36001391682100037
219 St,Bronx,2 5,2,POINT (-73.862633 40.883895),0,1,0,1,0,0,0,0,0,3483.0,-148.0,31985.0,192.0,9457.0,-0.22047721627920236,2.575000000000003,-1450.0,4151.0,3217.0,175.0,1951.0,-0.9780931296635487
225 St,Bronx,2 5,2,POINT (-73.860341 40.888022),0,1,0,1,0,0,0,0,0,4479.0,-518.0,31985.0,192.0,9457.0,-0.22047721627920236,2.575000000000003,-1450.0,4151.0,3217.0,175.0,1951.0,-0.9780931296635487
23 St,Manhattan,F M,2,POINT (-73.992821 40.742878),0,0,1,0,0,0,0,0,0,28749.0,-10333.0,96699.0,-2967.0,-4056.0,-2.302191632450301,0.7423076923076906,-12075.0,-6613.0,16112.653846153844,382.2307692307693,9681.0,-1.630007744937545
23 St,Manhattan,1,1,POINT (-73.995657 40.744081),0,1,0,0,0,0,0,0,0,15283.0,187.0,96699.0,-2967.0,-4056.0,-2.302191632450301,0.7423076923076906,-12075.0,-6613.0,16112.653846153844,382.2307692307693,9681.0,-1.630007744937545
23 St,Manhattan,6,1,POINT (-73.986599 40.739864),0,0,0,1,0,0,0,0,0,31777.0,-180.0,96699.0,-2967.0,-4056.0,-2.302191632450301,0.7423076923076906,-12075.0,-6613.0,16112.653846153844,382.2307692307693,9681.0,-1.630007744937545
23 St,Manhattan,C E,2,POINT (-73.998041 40.745906),1,0,0,0,0,0,0,0,0,24782.0,-385.0,96699.0,-2967.0,-4056.0,-2.302191632450301,0.7423076923076906,-12075.0,-6613.0,16112.653846153844,382.2307692307693,9681.0,-1.630007744937545
23 St,Manhattan,R W,2,POINT (-73.989344 40.741303),0,0,0,0,1,0,0,0,0,22760.0,3621.0,96699.0,-2967.0,-4056.0,-2.302191632450301,0.7423076923076906,-12075.0,-6613.0,16112.653846153844,382.2307692307693,9681.0,-1.630007744937545
231 St,Bronx,1,1,POINT (-73.904834 40.878856),0,1,0,0,0,0,0,0,0,8951.0,1336.0,2586.0,50.0,7765.0,-0.5917746785292333,0.6000000000000014,-2122.0,3787.0,3281.5,160.5,1869.0,0.5825158235565397
233 St,Bronx,2 5,2,POINT (-73.857473 40.893193),0,1,0,1,0,0,0,0,0,5473.0,-609.0,31774.0,156.0,7430.0,0.14613166916724873,2.1000000000000014,-609.0,3429.0,2330.6666666666642,185.33333333333326,1818.0,-0.7203171669705632
238 St,Bronx,1,1,POINT (-73.90087 40.884667),0,1,0,0,0,0,0,0,0,3598.0,-373.0,2235.0,87.0,806.0,-1.1060565302821734,1.1499999999999915,-1655.0,487.0,9101.0,197.5,-398.0,-0.3289237535132328
25 Av,Brooklyn,D,1,POINT (-73.986829 40.597704),0,0,1,0,0,0,0,0,0,4607.0,476.0,8022.0,459.0,16973.0,-0.559352108853306,-1.3000000000000043,703.0,3073.0,9711.5,249.0,2278.0,2.1441904154245295
25 St,Brooklyn,R,1,POINT (-73.998091 40.660397),0,0,0,0,1,0,0,0,0,3821.0,-66.0,5798.0,225.0,43.0,1.711170050921651,1.8500000000000014,-3221.0,-241.0,20497.5,342.5,-249.0,-2.4159565838832053
28 St,Manhattan,1,1,POINT (-73.993365 40.747215),0,1,0,0,0,0,0,0,0,15149.0,-352.0,90673.0,-3015.0,9294.0,-2.5075490960720814,0.8999999999999986,-6258.0,2089.0,14156.058823529413,535.4705882352939,10826.0,-1.053342297198201
28 St,Manhattan,6,1,POINT (-73.984264 40.74307),0,0,0,1,0,0,0,0,0,23696.0,-11677.0,90673.0,-3015.0,9294.0,-2.5075490960720814,0.8999999999999986,-6258.0,2089.0,14156.058823529413,535.4705882352939,10826.0,-1.053342297198201
28 St,Manhattan,R W,2,POINT (-73.988691 40.745494),0,0,0,0,1,0,0,0,0,11607.0,2695.0,90673.0,-3015.0,9294.0,-2.5075490960720814,0.8999999999999986,-6258.0,2089.0,14156.058823529413,535.4705882352939,10826.0,-1.053342297198201
3 Av,Manhattan,L,1,POINT (-73.986122 40.732849),0,0,0,0,0,0,1,0,0,6803.0,-54.0,12047.0,-466.0,-8882.0,-1.346736685466321,0.21999999999999886,-2350.0,-3295.0,17599.199999999997,375.79999999999995,-726.0,-1.3860419418439074
3 Av - 138 St,Bronx,6,1,POINT (-73.926138 40.810476),0,0,0,1,0,0,0,0,0,7667.0,134.0,8132.0,172.0,10567.0,-1.5630040936740919,0.9799999999999969,-1891.0,6740.0,4104.799999999999,173.79999999999995,5017.0,-0.23247817230602763
3 Av - 149 St,Bronx,2 5,2,POINT (-73.917757 40.816109),0,1,0,1,0,0,0,0,0,24001.0,-1644.0,8440.0,211.0,11045.0,-0.5437438821195184,1.4250000000000007,-446.0,4314.0,2732.5,149.5,3993.0,-0.35442860064607284
30 Av,Queens,N W,2,POINT (-73.921479 40.766779),0,0,0,0,1,0,0,0,0,14802.0,-6516.0,3396.0,255.0,-2648.0,0.8361914374799273,-0.14999999999999858,-2971.0,3651.0,15467.0,301.75,2647.0,0.18970338428218048
33 St,Manhattan,6,1,POINT (-73.982076 40.746081),0,0,0,1,0,0,0,0,0,32783.0,-175.0,29816.0,-795.0,11113.0,-2.4045085575517766,1.0428571428571445,-3698.0,6153.0,13299.428571428565,498.0,8797.0,-1.6708519021881751
33 St,Queens,7,1,POINT (-73.930997 40.744587),0,0,0,0,0,1,0,0,0,14246.0,-3217.0,29816.0,-795.0,11113.0,-2.4045085575517766,1.0428571428571445,-3698.0,6153.0,13299.428571428565,498.0,8797.0,-1.6708519021881751
34 St - Herald Sq,Manhattan,B D F M N Q R W,8,POINT (-73.9878865 40.749643),0,0,1,0,1,0,0,0,0,122517.0,4059.0,77310.0,-1187.0,8818.0,-1.6070711657647396,0.8714285714285666,-3353.0,4328.0,17049.71428571429,489.7142857142858,6441.0,-1.1306042081658751
34 St - Penn Station,Manhattan,1 2 3,3,POINT (-73.991057 40.750373),0,1,0,0,0,0,0,0,0,90042.0,-4862.0,130885.0,-1828.0,15371.0,-1.3969808776917614,0.6899999999999977,-4381.0,8220.0,15334.0,510.2000000000003,12483.0,-0.17927995195652358
34 St - Penn Station,Manhattan,A C E,3,POINT (-73.993391 40.752287),1,0,0,0,0,0,0,0,0,83717.0,-3371.0,130885.0,-1828.0,15371.0,-1.3969808776917614,0.6899999999999977,-4381.0,8220.0,15334.0,510.2000000000003,12483.0,-0.17927995195652358
36 Av,Queens,N W,2,POINT (-73.929575 40.756804),0,0,0,0,1,0,0,0,0,7688.0,-2615.0,4321.0,195.0,4395.0,0.5857704900990635,-0.6666666666666643,-2039.0,6981.0,16513.666666666664,350.0,6086.0,-0.3948576857941033
36 St,Brooklyn,D N R,3,POINT (-74.003549 40.655144),0,0,1,0,1,0,0,0,0,12059.0,1434.0,14270.0,751.0,-2618.0,0.8829758507006569,0.5857142857142819,-8644.0,4341.0,15035.0,308.42857142857156,4268.0,-1.6083621490592726
36 St,Queens,M R,2,POINT (-73.928781 40.752039),0,0,1,0,1,0,0,0,0,4540.0,637.0,14270.0,751.0,-2618.0,0.8829758507006569,0.5857142857142819,-8644.0,4341.0,15035.0,308.42857142857156,4268.0,-1.6083621490592726
39 Av,Queens,N W,2,POINT (-73.932755 40.752882),0,0,0,0,1,0,0,0,0,3262.0,-906.0,3830.0,173.0,6390.0,-1.024979006398219,-0.13333333333332575,-2032.0,6216.0,12814.333333333328,329.0,6234.0,-1.7541575984374669
4 Av,Brooklyn,F G R,3,POINT (-73.989779 40.670272),0,0,1,0,1,0,0,1,0,13156.0,-596.0,8550.0,354.0,3751.0,1.520817433877275,1.433333333333323,-3490.0,-300.0,21011.333333333343,279.66666666666674,130.0,-3.191667945054366
40 St,Queens,7,1,POINT (-73.924016 40.743781),0,0,0,0,0,1,0,0,0,11100.0,-1146.0,5976.0,188.0,5001.0,-1.693465556801288,1.6000000000000085,-3033.0,659.0,10194.666666666664,277.0,5343.0,-2.857189871663812
42 St - Bryant Pk / 5 Av,Manhattan,B D F M 7,5,POINT (-73.98326599999999 40.7540215),0,0,1,0,0,1,0,0,0,53222.0,2650.0,89113.0,-1284.0,14269.0,-1.2240156368757193,1.2142857142857153,-2896.0,6613.0,16536.857142857145,471.8571428571429,9109.0,-1.041601691519789
45 St,Brooklyn,R,1,POINT (-74.010006 40.648939),0,0,0,0,1,0,0,0,0,6978.0,227.0,9656.0,557.0,-7403.0,1.5084588366203133,1.86666666666666,-6071.0,-2868.0,16831.33333333333,295.0,-2116.0,-2.291405961298565
46 St,Queens,7,1,POINT (-73.918435 40.743132),0,0,0,0,0,1,0,0,0,14656.0,-1828.0,11855.0,451.0,9891.0,-1.060461418309816,0.9375000000000071,-7490.0,4990.0,11557.375,286.625,11912.0,-2.2964553740098648
46 St,Queens,M R,2,POINT (-73.913333 40.756312),0,0,1,0,1,0,0,0,0,9529.0,-777.0,11855.0,451.0,9891.0,-1.060461418309816,0.9375000000000071,-7490.0,4990.0,11557.375,286.625,11912.0,-2.2964553740098648
47-50 Sts - Rockefeller Ctr,Manhattan,B D F M,4,POINT (-73.981329 40.758663),0,0,1,0,0,0,0,0,0,61099.0,-72.0,86959.0,-1259.0,13311.0,-1.1208387664019548,1.0833333333333357,-2033.0,6186.0,18150.5,511.33333333333326,7585.0,-1.2975890920610578
49 St,Manhattan,N R W,3,POINT (-73.984139 40.759901),0,0,0,0,1,0,0,0,0,25356.0,555.0,76788.0,-988.0,13450.0,-0.5427862797269367,1.1599999999999966,-1351.0,5930.0,19444.59999999999,503.7999999999997,7167.0,-1.9631400925917308
5 Av/53 St,Manhattan,E M,2,POINT (-73.975224 40.760167),1,0,1,0,0,0,0,0,0,25939.0,1673.0,74907.0,-484.0,7216.0,0.6382767375388343,1.13333333333334,-1492.0,716.0,21953.0,366.33333333333326,4755.0,-3.2539336559541776
