station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
Prospect Av,POINT (-73.90177 40.819585),7424,7038,2 5,-5.2
Prospect Park,POINT (-73.962246 40.661614),9761,10059,B Q,3.1
Queens Plaza,POINT (-73.937243 40.748973),9696,12747,E M R,31.5
Queensboro Plaza,POINT (-73.940202 40.750582),11132,14517,N W 7,30.4
Ralph Av,POINT (-73.920786 40.678822),5381,5768,C,7.2
Rector St,POINT (-74.013783 40.707513),11323,9005,1,-20.5
Rector St,POINT (-74.013342 40.70722),5362,7185,R W,34.0
Rockaway Av,POINT (-73.908946 40.662549),5632,4747,3,-15.7
Rockaway Av,POINT (-73.911946 40.67834),5137,5667,C,10.3
Rockaway Blvd,POINT (-73.843853 40.680429),8662,7534,A,-13.0
Rockaway Park - Beach 116 St,POINT (-73.835592 40.580903),379,696,A S,83.6
Roosevelt Island,POINT (-73.95326 40.759145),6321,7153,F,13.2
Saratoga Av,POINT (-73.916327 40.661453),5807,5246,3,-9.7
